날짜,총 크롤링 요청 횟수,총 다운로드 크기(바이트),평균 응답 시간(밀리초)
2026-01-10,0,0,0
2026-01-13,294,1154316,155
2026-01-14,26,56764,440
2026-01-15,42,100080,517
2026-01-16,62,157795,244
2026-01-17,265,879547,257
