응답,총 요청 비율
영구 이전(301),0.4064
성공(200),0.4049
기타 클라이언트 오류(4XX),0.1190
서버 오류(5XX),0.0581
페이지에 연결할 수 없음,0.0058
DNS 오류,0.0058
