사유,소스,유효성 검사,페이지
리디렉션이 포함된 페이지,웹사이트,시작되지 않음,31
리디렉션 오류,웹사이트,시작되지 않음,2
발견됨 - 현재 색인이 생성되지 않음,Google 시스템,시작되지 않음,133
크롤링됨 - 현재 색인이 생성되지 않음,Google 시스템,시작되지 않음,37
