사유,소스,유효성 검사,페이지
리디렉션이 포함된 페이지,웹사이트,실패함,128
서버 오류(5xx),웹사이트,시작되지 않음,5
적절한 표준 태그가 포함된 대체 페이지,웹사이트,시작되지 않음,1
리디렉션 오류,웹사이트,시작됨,2
발견됨 - 현재 색인이 생성되지 않음,Google 시스템,시작됨,13
크롤링됨 - 현재 색인이 생성되지 않음,Google 시스템,통과,0
