URL,최종 크롤링
https://livingcostcheck.com/product-manager-salary-seattle-wa-vs-new-york-ny,2026-01-14
https://livingcostcheck.com/software-engineer-salary-san-francisco-ca-vs-austin-tx,2026-01-14
